ID,DOI,Link,Creative Commons,"Retracted/Corrected (as of July 21, 2021)","Retraction/Correction DOI (as of July 21, 2021)",Retraction/Correction Reason,"False Alarm Test (as of July 21, 2021)",Content Extraction Annotation,Image Ranking Annotation,Panel Segmentation Annotation,Copy-Move Detection Annotation,Provenance Analysis Annotation
539,10.1128/mcb.22.12.4256-4267.2002,https://MCB.asm.org/content/22/12/4256,No,Yes,10.1128/MCB.01723-06,Questionable Image,No,No,No,No,No,No
540,10.1158/2159-8290.CD-11-0241,https://cancerdiscovery.aacrjournals.org/content/2/4/356,No,Yes,10.1158/2159-8290.CD-19-0724,Image Falsification/Fabrication,No,Yes,No,No,No,No
541,10.1158/1535-7163.MCT-14-0172,https://mct.aacrjournals.org/content/13/10/2384,No,Yes,10.1158/1535-7163.MCT-19-0666,Image Duplication,No,Yes,Yes,Yes,No,No
542,10.1073/pnas.0503877102,https://www.pnas.org/content/102/43/15581,No,Yes,10.1073/pnas.1009071107,Data Falsification/Fabrication,No,Yes,No,No,No,No
543,10.1128/MCB.15.3.1545,https://mcb.asm.org/content/15/3/1545,No,Yes,10.1128/MCB.00662-17,Image Duplication; Image Manipulation,No,No,No,No,No,No
544,10.1158/1078-0432.CCR-13-1663,https://clincancerres.aacrjournals.org/content/20/3/631,No,Yes,10.1158/1078-0432.CCR-17-1502,Image Duplication,No,No,No,No,No,No
545,10.1158/1078-0432.ccr-03-0166,https://clincancerres.aacrjournals.org/content/10/6/2015,No,Yes,10.1158/1078-0432.CCR-17-1750,Image Duplication; Image Falsification/Fabrication,No,No,No,No,No,Yes
546,10.1073/pnas.1221733110,https://www.pnas.org/content/110/29/12012,No,Yes,10.1073/pnas.1708494114,Image Duplication,No,No,No,No,No,No
547,10.1158/0008-5472.CAN-12-2220,https://cancerres.aacrjournals.org/content/73/1/439,No,Yes,10.1158/0008-5472.CAN-19-2048,Image Duplication; Image Manipulation,No,No,No,No,No,No
548,10.1158/1078-0432.CCR-16-0137,https://clincancerres.aacrjournals.org/content/early/2017/07/12/1078-0432.CCR-16-0137,No,Yes,10.1158/1078-0432.CCR-17-0954,Image Duplication; Image Manipulation,No,No,No,No,No,No
549,10.1128/MCB.02347-06,https://mcb.asm.org/content/27/6/2144,No,Yes,10.1128/MCB.00321-17,Image Duplication,No,Yes,No,No,Yes,No
550,10.1242/dev.01213,https://dev.biologists.org/content/131/14/3469,No,Yes,10.1242/dev.123562,Image Duplication,No,No,No,No,Yes,Yes
551,10.1128/AAC.01928-17,https://aac.asm.org/content/62/3/e01928-17,No,No,-,-,No,No,No,No,No,No
552,10.1073/pnas.0707594105,https://www.pnas.org/content/105/5/1608,No,Yes,10.1073/pnas.1803343115,Image Duplication; Image Manipulation,No,No,No,No,Yes,No
553,10.1073/pnas.0600345103,https://www.pnas.org/content/103/17/6712,No,Yes,10.1073/pnas.1712524114,Image Duplication; Image Manipulation,No,No,No,No,No,No
554,10.1128/MCB.21.7.2485-2495.2001,https://MCB.asm.org/content/21/7/2485,No,Yes,10.1128/MCB.00660-17,Image Duplication; Image Manipulation,No,No,No,No,No,No
555,10.1128/AAC.01811-10,https://aac.asm.org/content/55/8/3774,No,No,-,-,No,No,No,No,No,No
556,10.1158/1940-6207.CAPR-13-0193,https://cancerpreventionresearch.aacrjournals.org/content/6/7/617,No,No,-,-,No,No,No,No,No,No
557,10.1128/jvi.76.13.6815-6824.2002,https://JVI.asm.org/content/76/13/6815,No,Yes,10.1128/JVI.00022-17,Image Duplication; Image Manipulation,No,No,No,No,Yes,Yes
558,10.1073/pnas.1009056107,https://www.pnas.org/content/107/34/15281,No,Yes,10.1073/pnas.1803201115,Image Duplication; Image Manipulation; Image Duplication Across Articles,No,No,No,No,No,Yes
559,10.1128/mcb.23.22.8161-8171.2003,https://MCB.asm.org/content/23/22/8161,No,Yes,10.1128/MCB.00365-17,Image Manipulation,No,No,No,No,No,No
560,10.1128/jvi.76.2.912-917.2002,https://JVI.asm.org/content/76/2/912,No,Yes,10.1128/JVI.00761-19,Image Manipulation,No,No,No,No,Yes,No
561,10.1128/MCB.01242-14,https://mcb.asm.org/content/35/6/988,No,Yes,10.1128/MCB.00246-17,Image Duplication,No,No,No,No,No,No
562,10.1073/pnas.0503027102,https://www.pnas.org/content/102/21/7724,No,Yes,10.1073/pnas.1000897107,Image Falsification/Fabrication; Data Falsification/Fabrication,No,No,No,No,No,No
563,10.1126/science.1095001,https://science.sciencemag.org/content/304/5673/1010,No,Yes,10.1126/science.344.6187.981-a,Image Duplication Across Articles; Image Manipulation,No,Yes,No,No,No,No
564,10.1126/science.1117705,https://science.sciencemag.org/content/311/5764/1118,No,Yes,10.1126/science.344.6187.981-a,Image Duplication Across Articles; Image Manipulation,No,Yes,No,No,No,No
565,10.1126/science.1120925,https://science.sciencemag.org/content/311/5763/992,No,Yes,10.1126/science.317.5837.450b,Image Falsification/Fabrication,No,No,No,No,No,No
566,10.1126/science.1144663,https://science.sciencemag.org/content/317/5843/1402,No,Yes,10.1126/science.1202596,Questionable Data,No,No,No,No,No,No
567,10.1126/science.1188635,https://science.sciencemag.org/content/328/5983/1290,No,Yes,10.1126/science.341.6144.342-a,Image Duplication Across Articles,No,No,No,No,No,No
568,10.1126/science.aaa2655,https://science.sciencemag.org/content/349/6253/1237,No,Yes,10.1126/science.aap7423,Image Manipulation,No,No,No,No,No,No
569,10.1097/MPA.0000000000000257,https://journals.lww.com/00006676-201501000-00001,No,No,-,-,No,Yes,No,No,No,No
570,10.1097/00007890-200006270-00007,https://journals.lww.com/00007890-200006270-00007,No,Yes,10.1097/01.tp.0000239527.00075.60,Data Error,No,No,No,No,No,No
571,10.1161/ATVBAHA.108.177113,https://www.ahajournals.org/doi/10.1161/ATVBAHA.108.177113,No,Yes,10.1161/01.atv.0000437284.24634.93,Image Falsification/Fabrication,No,No,No,No,No,No
572,10.1161/CIRCULATIONAHA.113.004698,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.113.004698,No,Yes,10.1161/CIR.0000000000000643,Data Falsification/Fabrication,No,No,No,No,No,No
573,10.1161/CIRCULATIONAHA.113.006591,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.113.006591,No,Yes,10.1161/CIR.0000000000000642,Data Falsification/Fabrication,No,No,No,No,No,No
574,10.1161/CIRCULATIONAHA.110.982918,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.110.982918,No,Yes,10.1161/CIR.0000000000000644,Data Falsification/Fabrication,No,No,No,No,No,No
575,10.1161/CIRCULATIONAHA.112.153973,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.112.153973,No,Yes,10.1161/CIR.0000000000000338,Wrong Author Information,No,No,No,No,No,No
576,10.1161/CIRCULATIONAHA.112.118380,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.112.118380,No,Yes,10.1161/CIR.0000000000000049,Questionable Data,No,No,No,No,No,No
577,10.1161/CIRCRESAHA.111.259507,https://www.ahajournals.org/doi/10.1161/CIRCRESAHA.111.259507,No,Yes,10.1161/RES.0000000000000252,Data Falsification/Fabrication,No,No,No,No,No,No
578,10.1161/CIRCRESAHA.111.243154,https://www.ahajournals.org/doi/10.1161/CIRCRESAHA.111.243154,No,Yes,10.1161/RES.0000000000000248,Data Falsification/Fabrication,No,No,No,No,No,No
579,10.1161/CIRCRESAHA.108.178525,https://www.ahajournals.org/doi/10.1161/CIRCRESAHA.108.178525,No,No,-,-,No,No,No,No,No,No
580,10.1161/CIRCULATIONAHA.113.002764,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.113.002764,No,No,-,-,No,No,No,No,No,No
581,10.1161/CIRCRESAHA.110.218487,https://www.ahajournals.org/doi/10.1161/CIRCRESAHA.110.218487,No,No,-,-,No,No,No,No,No,No
582,10.1161/CIRCHEARTFAILURE.117.003960,https://www.ahajournals.org/doi/10.1161/CIRCHEARTFAILURE.117.003960,No,Yes,10.1161/HHF.0000000000000024,Image Duplication,No,No,No,No,No,No
583,10.3390/nu10070888,https://www.mdpi.com/2072-6643/10/7/888,Yes,No,-,-,No,Yes,No,No,No,No
584,10.3390/molecules17044755,https://www.mdpi.com/1420-3049/17/4/4755,Yes,Yes,10.3390/molecules19033850,Text Duplication,No,No,No,No,No,No
585,10.3390/ijms13089627,https://www.mdpi.com/1422-0067/13/8/9627,Yes,Yes,10.3390/ijms150814907,Image Duplication,No,Yes,Yes,Yes,Yes,No
586,10.3390/catal8100439,https://www.mdpi.com/2073-4344/8/10/439,Yes,Yes,10.3390/catal9070595,Image Duplication Across Articles,No,No,No,No,No,No
587,10.3390/ijms18081626,https://www.mdpi.com/1422-0067/18/8/1626,Yes,No,-,-,No,No,No,No,No,No
588,10.3390/cells7110197,https://www.mdpi.com/2073-4409/7/11/197,Yes,Yes,10.3390/cells8080819,Image Manipulation,No,No,No,No,No,No
589,10.1155/2013/369180,https://www.hindawi.com/journals/ecam/2013/369180/,Yes,Yes,10.1155/2017/4561243,Image Duplication; Image Manipulation,No,No,No,No,Yes,No
590,10.1155/2014/931850,https://www.hindawi.com/journals/bmri/2014/931850/,Yes,Yes,10.1155/2017/8234878,Image Duplication Across Articles,No,Yes,No,No,No,No
591,10.1155/2013/782450,https://www.hindawi.com/journals/bmri/2013/782450/,Yes,Yes,10.1155/2016/5705968,Image Duplication; Image Manipulation,No,No,No,No,No,Yes
592,10.1100/2012/345983,https://www.hindawi.com/journals/tswj/2012/345983/,Yes,Yes,10.1155/2016/2584053,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
593,10.1155/2014/345105,https://www.hindawi.com/journals/omcl/2014/345105/,Yes,No,-,-,No,No,No,No,No,No
594,10.1155/2016/2537294,https://www.hindawi.com/journals/ecam/2016/2537294/,Yes,Yes,10.1155/2018/5810294,Article Duplication; Image Duplication; Image Manipulation,No,No,No,No,No,No
595,10.1155/2016/7258201,https://www.hindawi.com/journals/np/2016/7258201/,Yes,Yes,10.1155/2018/6924505,Image Duplication; Image Manipulation,No,No,No,No,No,No
596,10.1155/2014/164391,https://www.hindawi.com/journals/bmri/2014/164391/,Yes,Yes,10.1155/2016/4729643,Image Duplication,No,No,No,No,No,Yes
597,10.1155/2015/978654,https://www.hindawi.com/journals/omcl/2015/978654/,Yes,Yes,10.1155/2019/3571916,Image Duplication; Image Manipulation,No,No,No,No,No,Yes
598,10.1155/2015/105695,https://www.hindawi.com/journals/bmri/2015/105695/,Yes,Yes,10.1155/2019/9458681,Image Duplication; Text Duplication,No,No,No,No,No,No
599,10.1155/2014/987017,https://www.hindawi.com/journals/mi/2014/987017/,Yes,Yes,10.1155/2017/8287646,Image Duplication,No,No,No,No,Yes,Yes
600,10.1155/2012/139045,https://www.hindawi.com/journals/ecam/2012/139045/,Yes,Yes,10.1155/2017/5276749,Image Duplication,No,No,No,No,Yes,No
601,10.1155/2014/854093,https://www.hindawi.com/journals/tswj/2014/854093/,Yes,Yes,10.1155/2019/3295627,Image Duplication,No,No,No,No,No,No
602,10.1155/2015/462864,https://www.hindawi.com/journals/ecam/2015/462864/,Yes,Yes,10.1155/2018/2980342,Article Duplication; Image Duplication; Data Duplication,No,No,No,No,No,No
603,10.1155/2015/704781,https://www.hindawi.com/journals/ecam/2015/704781/,Yes,Yes,10.1155/2019/7906103,Image Duplication,No,No,No,No,No,No
604,10.1155/2017/7378148,https://www.hindawi.com/journals/bmri/2017/7378148/,Yes,Yes,10.1155/2019/8739375,Image Duplication,No,No,No,No,No,No
605,10.1155/2015/108458,https://www.hindawi.com/journals/bmri/2015/108458/,Yes,Yes,10.1155/2017/3471417,Image Duplication Across Articles,No,No,No,No,No,No
606,10.1155/2016/5230642,https://www.hindawi.com/journals/bmri/2016/5230642/,Yes,Yes,10.1155/2017/7640820,Image Duplication; Text Duplication,No,No,No,No,No,No
607,10.1371/journal.pntd.0006346,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006346,Yes,No,-,-,No,Yes,No,No,No,No
608,10.1371/journal.pone.0001908,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0001908,Yes,Yes,10.1371/annotation/8f94e479-4161-43a0-a28c-4c0460bb89a4,Data Error,No,Yes,No,No,No,No
609,10.1371/journal.pone.0071868,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0071868,No,Yes,10.1371/journal.pone.0186749,Image Duplication,No,Yes,No,No,Yes,No
610,10.1371/journal.pone.0026943,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0026943,Yes,Yes,10.1371/annotation/d4645c95-739f-4175-b753-b6fe0ba6063c,Image Duplication,No,Yes,Yes,Yes,No,No
611,10.1371/journal.pone.0186993,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0186993,No,No,-,-,No,Yes,No,No,No,No
612,10.1371/journal.pone.0064118,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0064118,Yes,No,-,-,No,Yes,No,No,No,No
613,10.1371/journal.pone.0077487,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0077487,Yes,Yes,10.1371/journal.pone.0223817,Image Duplication,No,Yes,No,No,No,No
614,10.1371/journal.pone.0042310,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0042310,Yes,Yes,10.1371/journal.pone.0224237,Image Duplication,No,Yes,No,No,No,No
615,10.1371/journal.pone.0012341,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0012341,No,Yes,10.1371/journal.pone.0220519,Image Duplication,No,Yes,Yes,Yes,Yes,No
616,10.1371/journal.pone.0010581,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0010581,Yes,Yes,10.1371/journal.pone.0194869,Image Duplication; Image Manipulation; Image Duplication Across Articles,No,Yes,No,No,No,Yes
617,10.1371/journal.pone.0110482,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0110482,Yes,Yes,10.1371/journal.pone.0220212,Image Duplication,No,Yes,No,No,No,No
618,10.1371/journal.pone.0046874,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0046874,Yes,No,-,-,No,Yes,Yes,Yes,No,No
619,10.1371/journal.pone.0003856,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0003856,Yes,Yes,10.1371/journal.pone.0190765,Image Duplication; Image Duplication Across Articles,No,Yes,No,No,No,No
620,10.1371/journal.pone.0034537,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0034537,Yes,Yes,10.1371/journal.pone.0187820,Image Duplication; Image Duplication Across Articles,No,Yes,No,No,No,No
621,10.1371/journal.pone.0069485,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0069485,Yes,Yes,10.1371/journal.pone.0205288,Image Duplication,No,Yes,No,No,No,No
622,10.1371/journal.pone.0033414,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033414,Yes,No,-,-,No,Yes,No,No,No,No
623,10.1371/journal.pone.0047520,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0047520,Yes,No,-,-,No,Yes,Yes,Yes,No,No
624,10.1371/journal.pone.0109671,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0109671,Yes,Yes,10.1371/journal.pone.0224493,Image Duplication; Image Manipulation,No,No,No,No,No,No
625,10.1371/journal.pone.0055298,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0055298,Yes,Yes,10.1371/journal.pone.0222525,Article Duplication; Image Duplication; Image Duplication Across Articles,No,Yes,No,No,No,No
626,10.1371/journal.pone.0038770,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0038770,Yes,Yes,10.1371/journal.pone.0222210,Image Duplication,No,Yes,No,No,No,No
627,10.1371/journal.pone.0210604,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210604,No,Yes,10.1371/journal.pone.0223286,Image Duplication Across Articles,No,Yes,No,No,No,No
628,10.1371/journal.pone.0085113,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0085113,Yes,Yes,10.1371/journal.pone.0224304,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
629,10.1371/journal.pone.0032841,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0032841,Yes,Yes,10.1371/journal.pone.0224849,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
630,10.1371/journal.pone.0015773,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0015773,Yes,Yes,10.1371/journal.pone.0190773,Image Duplication; Image Manipulation; Image Duplication Across Articles,No,Yes,No,No,Yes,Yes
631,10.1371/journal.pone.0113398,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0113398,Yes,Yes,10.1371/journal.pone.0190562,Image Duplication; Image Duplication Across Articles,No,Yes,No,No,No,Yes
632,10.1371/journal.pone.0102832,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0102832,Yes,Yes,10.1371/journal.pone.0220517,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
633,10.1371/journal.pone.0022800,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0022800,Yes,Yes,10.1371/journal.pone.0222287,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
634,10.1371/journal.pone.0057801,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0057801,Yes,Yes,10.1371/journal.pone.0222175,Image Duplication; Image Manipulation,No,No,No,No,No,No
635,10.1371/journal.pone.0085808,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0085808,Yes,Yes,10.1371/journal.pone.0194448,Image Duplication; Image Manipulation,No,No,No,No,Yes,No
636,10.1371/journal.pone.0054692,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0054692,Yes,Yes,10.1371/journal.pone.0186748,Image Duplication; Image Duplication Across Articles,No,No,No,No,No,Yes
637,10.1371/journal.pone.0073304,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0073304,Yes,No,-,-,No,No,No,No,No,No
638,10.1371/journal.pone.0041940,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0041940,Yes,Yes,10.1371/journal.pone.0223172,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
639,10.1371/journal.pone.0005528,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0005528,Yes,Yes,10.1371/journal.pone.0223028,Image Duplication,No,Yes,No,No,No,No
640,10.1371/journal.pone.0080026,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0080026,Yes,Yes,10.1371/journal.pone.0224350,Image Duplication; Image Manipulation,No,No,No,No,No,No
641,10.1371/journal.pone.0124542,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124542,Yes,Yes,10.1371/journal.pone.0224332,Image Duplication,No,No,No,No,No,No
642,10.1371/journal.pone.0053654,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0053654,Yes,Yes,10.1371/journal.pone.0224117,Image Duplication,No,No,No,No,No,No
643,10.1371/journal.pone.0111253,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111253,Yes,Yes,10.1371/journal.pone.0187171,Image Duplication,No,No,No,No,Yes,No
644,10.1371/journal.pone.0094472,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0094472,Yes,Yes,10.1371/journal.pone.0187146,Image Duplication,No,No,No,No,Yes,Yes
645,10.1371/journal.pone.0088181,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0088181,Yes,Yes,10.1371/journal.pone.0225470,Image Duplication,No,No,No,No,No,No
646,10.1371/journal.pone.0188159,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188159,Yes,No,-,-,No,No,No,No,No,No
647,10.1371/journal.pone.0136859,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0136859,Yes,Yes,10.1371/journal.pone.0222416,Image Duplication,No,No,No,No,No,No
648,10.1371/journal.pone.0079655,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0079655,Yes,Yes,10.1371/journal.pone.0184778,Image Duplication,No,No,No,No,Yes,No
649,10.1371/journal.pone.0042361,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0042361,Yes,Yes,10.1371/journal.pone.0224539,Image Duplication,No,No,No,No,No,No
650,10.1371/journal.pone.0027444,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0027444,Yes,Yes,10.1371/annotation/23a8e553-4fce-4c73-9946-7a2a6a5729e9,Image Duplication,No,No,No,No,No,Yes
651,10.1371/journal.pone.0021410,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021410,Yes,No,-,-,No,No,No,No,No,No
652,10.1371/journal.pone.0025224,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0025224,Yes,Yes,10.1371/journal.pone.0210345,Image Duplication; Image Duplication Across Articles,No,No,No,No,No,No
653,10.1371/journal.pone.0023000,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0023000,Yes,Yes,10.1371/journal.pone.0210344,Image Duplication,No,No,No,No,No,No
654,10.1371/journal.pone.0046404,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0046404,Yes,No,-,-,No,No,No,No,No,No
655,10.1371/journal.pone.0032126,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0032126,Yes,No,-,-,No,No,No,No,No,No
656,10.1371/journal.pone.0031093,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0031093,Yes,Yes,10.1371/journal.pone.0210346,Image Duplication Across Articles,No,No,No,No,No,No
657,10.1371/journal.pone.0046769,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0046769,Yes,Yes,10.1371/journal.pone.0220356,Image Duplication,No,No,No,No,No,No
658,10.1371/journal.pone.0163460,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0163460,Yes,Yes,10.1371/journal.pone.0224167,Image Duplication,No,No,No,No,No,No
659,10.1371/journal.pone.0209359,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0209359,Yes,Yes,10.1371/journal.pone.0225159,Image Duplication,No,No,No,No,No,No
660,10.1371/journal.pone.0083563,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0083563,Yes,Yes,10.1371/journal.pone.0198542,Image Duplication,No,No,No,No,Yes,No
661,10.1371/journal.pone.0035232,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0035232,Yes,Yes,10.1371/journal.pone.0225491,Image Duplication; Image Manipulation,No,No,No,No,No,No
662,10.1371/journal.pone.0105555,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0105555,Yes,Yes,10.1371/journal.pone.0198763,Image Duplication,No,No,No,No,Yes,No
663,10.1371/journal.pone.0005877,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0005877,Yes,Yes,10.1371/journal.pone.0219869,Image Duplication,No,No,No,No,No,Yes
664,10.1371/journal.pone.0051309,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0051309,Yes,Yes,10.1371/journal.pone.0222130,Image Duplication; Image Manipulation; Image Falsification/Fabrication,No,No,No,No,No,No
665,10.1371/journal.pone.0062942,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062942,Yes,Yes,10.1371/journal.pone.0238400,Image Duplication,No,No,No,No,No,No
666,10.1371/journal.pone.0065896,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0065896,Yes,Yes,10.1371/journal.pone.0220672,Image Duplication,No,No,No,No,Yes,Yes
667,10.1371/journal.pone.0102522,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0102522,Yes,Yes,10.1371/journal.pone.0224894,Image Duplication; Image Manipulation,No,No,No,No,No,No
668,10.1371/journal.pone.0102195,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0102195,Yes,Yes,10.1371/journal.pone.0220600,Image Duplication,No,No,No,No,No,No
669,10.1371/journal.pone.0025826,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0025826,Yes,Yes,10.1371/journal.pone.0223295,Image Duplication,No,No,No,No,No,No
670,10.1371/journal.pone.0094639,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0094639,Yes,Yes,10.1371/journal.pone.0222896,Image Duplication,No,No,No,No,No,No
671,10.1371/journal.pone.0065218,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0065218,Yes,Yes,10.1371/journal.pone.0222417,Image Duplication Across Articles,No,No,No,No,No,No
672,10.3892/mmr.2013.1507,https://www.spandidos-publications.com/10.3892/mmr.2013.1507,No,Yes,10.3892/mmr.2017.7551,Image Duplication Across Articles,No,Yes,Yes,Yes,No,No
673,10.3892/ijmm.2015.2147,https://www.spandidos-publications.com/10.3892/ijmm.2015.2147,No,Yes,10.3892/ijmm.2016.2693,Image Duplication Across Articles,No,Yes,No,No,No,Yes
674,10.3892/or.2013.2842,https://www.spandidos-publications.com/10.3892/or.2013.2842,No,No,-,-,No,Yes,No,No,No,No
675,10.3892/ijo.2013.1806,https://www.spandidos-publications.com/10.3892/ijo.2013.1806,No,No,-,-,No,Yes,No,No,No,No
676,10.3892/etm.2017.4342,https://www.spandidos-publications.com/10.3892/etm.2017.4342,Yes,Yes,10.3892/etm.2019.8077,Image Duplication Across Articles,No,Yes,No,No,No,No
677,10.3892/ijmm.2017.3166,https://www.spandidos-publications.com/10.3892/ijmm.2017.3166,Yes,Yes,10.3892/ijmm.2018.3565,Image Duplication Across Articles; Image Manipulation,No,No,No,No,No,No
678,10.3892/mmr.2013.1280,https://www.spandidos-publications.com/10.3892/mmr.2013.1280,No,Yes,10.3892/mmr.2018.8406,Image Manipulation,No,Yes,No,No,Yes,No
679,10.3892/ijo.2015.3286,https://www.spandidos-publications.com/10.3892/ijo.2015.3286,Yes,No,-,-,No,No,No,No,No,No
680,10.3892/mmr.2014.2379,https://www.spandidos-publications.com/10.3892/mmr.2014.2379,No,Yes,10.3892/mmr.2018.8586,Image Duplication Across Articles,No,No,No,No,No,Yes
681,10.1104/pp.16.00031,http://www.plantphysiol.org/content/170/4/2432,No,Yes,10.1104/pp.18.00225,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
682,10.1165/rcmb.2008-0381OC,https://www.atsjournals.org/doi/full/10.1165/rcmb.2008-0381OC,No,Yes,10.1165/rcmb.556erratum,Questionable Image,No,Yes,Yes,Yes,No,No
683,10.1177/1178633617739018,https://journals.sagepub.com/doi/10.1177/1178633617739018,Yes,No,-,-,No,Yes,No,No,No,No
684,10.1056/NEJMoa060467,https://www.nejm.org/doi/full/10.1056/NEJMoa060467,No,Yes,10.1056/NEJMc1101915,Unreproducible Experiments,No,Yes,No,No,No,No
685,10.1200/JCO.2007.11.0593,https://ascopubs.org/doi/10.1200/JCO.2007.11.0593,No,Yes,10.1200/JCO.2010.33.7311,Unreproducible Experiments,No,Yes,No,No,No,No
686,10.1124/mol.110.067512,https://molpharm.aspetjournals.org/content/79/2/279,No,Yes,10.1124/mol.115.067512retraction,Image Manipulation,No,Yes,Yes,Yes,No,No
687,10.1124/mol.107.041350,https://molpharm.aspetjournals.org/content/73/5/1549,No,Yes,10.1124/mol.115.041350retraction,Image Duplication; Image Manipulation,No,Yes,Yes,Yes,Yes,No
688,10.1124/mol.107.034512,https://molpharm.aspetjournals.org/content/71/6/1703,No,Yes,10.1124/mol.81.6.856,Text Error,No,No,No,No,No,No
689,10.12659/MSM.914653,https://www.medscimonit.com/abstract/index/idArt/914653,Yes,Yes,10.12659/MSM.919343,Image Duplication,No,Yes,No,No,Yes,No
690,10.1042/BJ20060816,https://portlandpress.com/biochemj/article-abstract/400/2/225/93956/EGFR-mediated-expression-of-aquaporin-3-is?redirectedFrom=fulltext,No,Yes,10.1042/BCJ-2006-0816_COR,Image Duplication,No,Yes,No,No,Yes,No
691,10.1063/1.3635869,https://aip.scitation.org/doi/abs/10.1063/1.3635869,No,No,-,-,No,No,No,No,No,No
692,10.1099/vir.0.014340-0,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.014340-0,No,Yes,10.1099/jgv.0.001340,Image Duplication Across Articles,No,Yes,Yes,Yes,No,No
